NODE,NEIGHBOURS,
/ip4/192.168.1.6/tcp/46073/p2p/12D3KooWJu2ozYr3s2mHhPdRengqnCqGyussH3nKBZD6bSsNiNNn,/ip4/192.168.1.6/tcp/44205/p2p/12D3KooWBxJVNzaiwd9iXHMYXUxDjswE2wsCZyuVAdMjkD9uWtkA,/ip4/192.168.1.6/tcp/33705/p2p/12D3KooWDh4bxCY3hQ6M2RBbjHu5rZ46AxAMTqEX4xQCyqTHhY9U
/ip4/192.168.1.6/tcp/44205/p2p/12D3KooWBxJVNzaiwd9iXHMYXUxDjswE2wsCZyuVAdMjkD9uWtkA,/ip4/192.168.1.6/tcp/46073/p2p/12D3KooWJu2ozYr3s2mHhPdRengqnCqGyussH3nKBZD6bSsNiNNn,/ip4/192.168.1.6/tcp/39641/p2p/12D3KooWKHsAmaESzUPdfXFzYiy4Q764Eknoaz3jGk6QT8DEMREQ
/ip4/192.168.1.6/tcp/39641/p2p/12D3KooWKHsAmaESzUPdfXFzYiy4Q764Eknoaz3jGk6QT8DEMREQ,/ip4/192.168.1.6/tcp/44205/p2p/12D3KooWBxJVNzaiwd9iXHMYXUxDjswE2wsCZyuVAdMjkD9uWtkA,/ip4/192.168.1.6/tcp/40109/p2p/12D3KooWAGt1qdsv2YyHUWjiDBxxLifms6hNKtJEdLinmVPGPuau
/ip4/192.168.1.6/tcp/40109/p2p/12D3KooWAGt1qdsv2YyHUWjiDBxxLifms6hNKtJEdLinmVPGPuau,/ip4/192.168.1.6/tcp/39641/p2p/12D3KooWKHsAmaESzUPdfXFzYiy4Q764Eknoaz3jGk6QT8DEMREQ,/ip4/192.168.1.6/tcp/33875/p2p/12D3KooWKH9UxDE4LwmwZYTKS1uCShQwzxVpL1wfChraz5Bv6oQo
/ip4/192.168.1.6/tcp/33875/p2p/12D3KooWKH9UxDE4LwmwZYTKS1uCShQwzxVpL1wfChraz5Bv6oQo,/ip4/192.168.1.6/tcp/40109/p2p/12D3KooWAGt1qdsv2YyHUWjiDBxxLifms6hNKtJEdLinmVPGPuau,/ip4/192.168.1.6/tcp/37577/p2p/12D3KooWKPDcsrhjXKoyje4oQd1uu1R1WM6AmnTBAVskg85Tw578
/ip4/192.168.1.6/tcp/37577/p2p/12D3KooWKPDcsrhjXKoyje4oQd1uu1R1WM6AmnTBAVskg85Tw578,/ip4/192.168.1.6/tcp/33875/p2p/12D3KooWKH9UxDE4LwmwZYTKS1uCShQwzxVpL1wfChraz5Bv6oQo,/ip4/192.168.1.6/tcp/36939/p2p/12D3KooWCe8PEScqyLQu3CCN8QYmpRYwToJBMm62bvLeaoR23zVS
/ip4/192.168.1.6/tcp/36939/p2p/12D3KooWCe8PEScqyLQu3CCN8QYmpRYwToJBMm62bvLeaoR23zVS,/ip4/192.168.1.6/tcp/37577/p2p/12D3KooWKPDcsrhjXKoyje4oQd1uu1R1WM6AmnTBAVskg85Tw578,/ip4/192.168.1.6/tcp/33705/p2p/12D3KooWDh4bxCY3hQ6M2RBbjHu5rZ46AxAMTqEX4xQCyqTHhY9U
/ip4/192.168.1.6/tcp/33705/p2p/12D3KooWDh4bxCY3hQ6M2RBbjHu5rZ46AxAMTqEX4xQCyqTHhY9U,/ip4/192.168.1.6/tcp/36939/p2p/12D3KooWCe8PEScqyLQu3CCN8QYmpRYwToJBMm62bvLeaoR23zVS,/ip4/192.168.1.6/tcp/46073/p2p/12D3KooWJu2ozYr3s2mHhPdRengqnCqGyussH3nKBZD6bSsNiNNn
